Configuration,convolution,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),0.6439,0.0238,0.073,0.741,0.644
(1_400_6),2.9397,0.0525,1.0338,4.026,2.940
(1_320_6),1.8804,0.0532,0.5585,2.492,1.880
(1_256_6),1.1970,0.0238,0.1187,1.340,1.198
(1_128_6),0.2934,0.0094,0.0298,0.333,0.294
(1_32_6),0.0188,0.0027,0.0032,0.025,0.019
(1_256_9),2.2353,0.0239,0.5933,2.853,2.236
(1_64_9),0.1291,0.0043,0.0117,0.145,0.129
(1_256_12),2.8119,0.0239,0.6021,3.438,2.812
(1_64_12),0.1621,0.0043,0.0149,0.181,0.162
(3_150_16),3.6251,0.0245,0.1065,3.756,3.625
(3_64_16),0.6145,0.0077,0.0193,0.642,0.615
(3_32_16),0.1411,0.0039,0.0056,0.151,0.142
(6_150_16),6.2497,0.0461,0.1144,6.410,6.250
(6_128_16),4.5636,0.0352,0.0761,4.675,4.564
(6_70_16),1.3944,0.014,0.0229,1.431,1.394
(6_32_16),0.2638,0.0062,0.0056,0.276,0.264
(6_16_16),0.0568,0.0038,0.0025,0.063,0.057
(6_8_16),0.0096,0.0038,0.0015,0.015,0.010
(6_32_32),0.8855,0.0072,0.0094,0.902,0.885
(6_16_32),0.1821,0.0048,0.0032,0.190,0.182
(6_8_32),0.0221,0.0048,0.0016,0.029,0.023
(16_32_32),2.2910,0.0149,0.0094,2.315,2.291
(16_16_32),0.4461,0.0098,0.0032,0.459,0.446
(16_8_32),0.0517,0.0244,0.0016,0.078,0.052
(16_32_64),4.2333,0.0185,0.0166,4.268,4.233
(16_16_64),0.8215,0.0134,0.0046,0.840,0.822
(16_8_64),0.0971,0.0118,0.000928,0.110,0.097
(32_32_64),8.9996,0.0308,0.0171,9.047,8.999
(32_8_64),0.1987,0.0196,0.0012,0.220,0.199
